CurrencyName: USD
Denomination: 24
Дата: 2015-02-03T00:00:00+03:00, Объем валюты: 1671.94
Дата: 2015-02-04T00:00:00+03:00, Объем валюты: 1626.54
Дата: 2015-02-05T00:00:00+03:00, Объем валюты: 1570.73
Дата: 2015-02-06T00:00:00+03:00, Объем валюты: 1646.67
Дата: 2015-02-07T00:00:00+03:00, Объем валюты: 1585.04
Дата: 2015-02-10T00:00:00+03:00, Объем валюты: 1578.76
Дата: 2015-02-11T00:00:00+03:00, Объем валюты: 1570.73
Дата: 2015-02-12T00:00:00+03:00, Объем валюты: 1585.4
Дата: 2015-02-13T00:00:00+03:00, Объем валюты: 1586.39
Дата: 2015-02-14T00:00:00+03:00, Объем валюты: 1562.07
Дата: 2015-02-17T00:00:00+03:00, Объем валюты: 1503.92
Дата: 2015-02-18T00:00:00+03:00, Объем валюты: 1508.05
Дата: 2015-02-19T00:00:00+03:00, Объем валюты: 1497.6
Дата: 2015-02-20T00:00:00+03:00, Объем валюты: 1491.14
Дата: 2015-02-21T00:00:00+03:00, Объем валюты: 1481.36
Дата: 2015-02-25T00:00:00+03:00, Объем валюты: 1524.2
Дата: 2015-02-26T00:00:00+03:00, Объем валюты: 1502.17
Дата: 2015-02-27T00:00:00+03:00, Объем валюты: 1457.06
Дата: 2015-02-28T00:00:00+03:00, Объем валюты: 1470.52
Дата: 2015-03-03T00:00:00+03:00, Объем валюты: 1493.4
Дата: 2015-03-04T00:00:00+03:00, Объем валюты: 1496.76
Дата: 2015-03-05T00:00:00+03:00, Объем валюты: 1484.99
Дата: 2015-03-06T00:00:00+03:00, Объем валюты: 1484.3
Дата: 2015-03-07T00:00:00+03:00, Объем валюты: 1439.85
Дата: 2015-03-11T00:00:00+03:00, Объем валюты: 1455.96
Дата: 2015-03-12T00:00:00+03:00, Объем валюты: 1504.31
Дата: 2015-03-13T00:00:00+03:00, Объем валюты: 1463.03
Дата: 2015-03-14T00:00:00+03:00, Объем валюты: 1471.6
Дата: 2015-03-17T00:00:00+03:00, Объем валюты: 1491.59
Дата: 2015-03-18T00:00:00+03:00, Объем валюты: 1482.02
Дата: 2015-03-19T00:00:00+03:00, Объем валюты: 1472.36
Дата: 2015-03-20T00:00:00+03:00, Объем валюты: 1435.94
Дата: 2015-03-21T00:00:00+03:00, Объем валюты: 1440.82
Дата: 2015-03-24T00:00:00+03:00, Объем валюты: 1426.68
Дата: 2015-03-25T00:00:00+03:00, Объем валюты: 1410.5
Дата: 2015-03-26T00:00:00+03:00, Объем валюты: 1377.31
Дата: 2015-03-27T00:00:00+03:00, Объем валюты: 1354.25
Дата: 2015-03-28T00:00:00+03:00, Объем валюты: 1385.47
Дата: 2015-03-31T00:00:00+03:00, Объем валюты: 1403.14
Дата: 2015-04-01T00:00:00+03:00, Объем валюты: 1383.6
Дата: 2015-04-02T00:00:00+03:00, Объем валюты: 1400.49
Дата: 2015-04-03T00:00:00+03:00, Объем валюты: 1367.76
Дата: 2015-04-04T00:00:00+03:00, Объем валюты: 1362.08
Дата: 2015-04-07T00:00:00+03:00, Объем валюты: 1356.39
Дата: 2015-04-08T00:00:00+03:00, Объем валюты: 1327.99
Дата: 2015-04-09T00:00:00+03:00, Объем валюты: 1296.65
Дата: 2015-04-10T00:00:00+03:00, Объем валюты: 1261.02
Дата: 2015-04-11T00:00:00+03:00, Объем валюты: 1225.63
Дата: 2015-04-14T00:00:00+03:00, Объем валюты: 1258.13
Дата: 2015-04-15T00:00:00+03:00, Объем валюты: 1247.4
Дата: 2015-04-16T00:00:00+03:00, Объем валюты: 1212.08
Дата: 2015-04-17T00:00:00+03:00, Объем валюты: 1192.2
Дата: 2015-04-18T00:00:00+03:00, Объем валюты: 1212.71
Дата: 2015-04-21T00:00:00+03:00, Объем валюты: 1236.5
Дата: 2015-04-22T00:00:00+03:00, Объем валюты: 1295.35
Дата: 2015-04-23T00:00:00+03:00, Объем валюты: 1287.73
Дата: 2015-04-24T00:00:00+03:00, Объем валюты: 1238.43
Дата: 2015-04-25T00:00:00+03:00, Объем валюты: 1205.94
Дата: 2015-04-28T00:00:00+03:00, Объем валюты: 1235.26
Дата: 2015-04-29T00:00:00+03:00, Объем валюты: 1255.3
Дата: 2015-04-30T00:00:00+03:00, Объем валюты: 1240.87
Дата: 2015-05-01T00:00:00+03:00, Объем валюты: 1227.33
Дата: 2015-05-06T00:00:00+03:00, Объем валюты: 1242.18
Дата: 2015-05-07T00:00:00+03:00, Объем валюты: 1199.56
Дата: 2015-05-08T00:00:00+03:00, Объем валюты: 1208.68
Дата: 2015-05-09T00:00:00+03:00, Объем валюты: 1218.03
Дата: 2015-05-13T00:00:00+03:00, Объем валюты: 1221.94
Дата: 2015-05-14T00:00:00+03:00, Объем валюты: 1188.88
Дата: 2015-05-15T00:00:00+03:00, Объем валюты: 1201.86
Дата: 2015-05-16T00:00:00+03:00, Объем валюты: 1200.28
Дата: 2015-05-19T00:00:00+03:00, Объем валюты: 1181.22
Дата: 2015-05-20T00:00:00+03:00, Объем валюты: 1180.26
Дата: 2015-05-21T00:00:00+03:00, Объем валюты: 1195.01
Дата: 2015-05-22T00:00:00+03:00, Объем валюты: 1198.09
Дата: 2015-05-23T00:00:00+03:00, Объем валюты: 1194.96
Дата: 2015-05-26T00:00:00+03:00, Объем валюты: 1196.67
Дата: 2015-05-27T00:00:00+03:00, Объем валюты: 1207.74
Дата: 2015-05-28T00:00:00+03:00, Объем валюты: 1224.43
Дата: 2015-05-29T00:00:00+03:00, Объем валюты: 1254.98
Дата: 2015-05-30T00:00:00+03:00, Объем валюты: 1271.32
Дата: 2015-06-02T00:00:00+03:00, Объем валюты: 1267.71
Дата: 2015-06-03T00:00:00+03:00, Объем валюты: 1282.59
Дата: 2015-06-04T00:00:00+03:00, Объем валюты: 1273.42
Дата: 2015-06-05T00:00:00+03:00, Объем валюты: 1319.78
Дата: 2015-06-06T00:00:00+03:00, Объем валюты: 1349.91
Дата: 2015-06-09T00:00:00+03:00, Объем валюты: 1345.04
Дата: 2015-06-10T00:00:00+03:00, Объем валюты: 1341.84
Дата: 2015-06-11T00:00:00+03:00, Объем валюты: 1315.73
Дата: 2015-06-12T00:00:00+03:00, Объем валюты: 1308.68
Дата: 2015-06-16T00:00:00+03:00, Объем валюты: 1326.43
Дата: 2015-06-17T00:00:00+03:00, Объем валюты: 1296.98
Дата: 2015-06-18T00:00:00+03:00, Объем валюты: 1293.6
Дата: 2015-06-19T00:00:00+03:00, Объем валюты: 1279.92
Дата: 2015-06-20T00:00:00+03:00, Объем валюты: 1291.21
Дата: 2015-06-23T00:00:00+03:00, Объем валюты: 1285.37
Дата: 2015-06-24T00:00:00+03:00, Объем валюты: 1300.99
Дата: 2015-06-25T00:00:00+03:00, Объем валюты: 1297.79
