USD
Дата: 2015-02-03T00:00:00+03:00, Объем валюты: 696.64
Дата: 2015-02-04T00:00:00+03:00, Объем валюты: 677.727
Дата: 2015-02-05T00:00:00+03:00, Объем валюты: 654.47
Дата: 2015-02-06T00:00:00+03:00, Объем валюты: 686.113
Дата: 2015-02-07T00:00:00+03:00, Объем валюты: 660.432
Дата: 2015-02-10T00:00:00+03:00, Объем валюты: 657.817
Дата: 2015-02-11T00:00:00+03:00, Объем валюты: 654.469
Дата: 2015-02-12T00:00:00+03:00, Объем валюты: 660.585
Дата: 2015-02-13T00:00:00+03:00, Объем валюты: 660.994
Дата: 2015-02-14T00:00:00+03:00, Объем валюты: 650.862
Дата: 2015-02-17T00:00:00+03:00, Объем валюты: 626.632
Дата: 2015-02-18T00:00:00+03:00, Объем валюты: 628.353
Дата: 2015-02-19T00:00:00+03:00, Объем валюты: 624.001
Дата: 2015-02-20T00:00:00+03:00, Объем валюты: 621.307
Дата: 2015-02-21T00:00:00+03:00, Объем валюты: 617.235
Дата: 2015-02-25T00:00:00+03:00, Объем валюты: 635.083
Дата: 2015-02-26T00:00:00+03:00, Объем валюты: 625.906
Дата: 2015-02-27T00:00:00+03:00, Объем валюты: 607.109
Дата: 2015-02-28T00:00:00+03:00, Объем валюты: 612.718
Дата: 2015-03-03T00:00:00+03:00, Объем валюты: 622.248
Дата: 2015-03-04T00:00:00+03:00, Объем валюты: 623.649
Дата: 2015-03-05T00:00:00+03:00, Объем валюты: 618.745
Дата: 2015-03-06T00:00:00+03:00, Объем валюты: 618.457
Дата: 2015-03-07T00:00:00+03:00, Объем валюты: 599.938
Дата: 2015-03-11T00:00:00+03:00, Объем валюты: 606.649
Дата: 2015-03-12T00:00:00+03:00, Объем валюты: 626.797
Дата: 2015-03-13T00:00:00+03:00, Объем валюты: 609.595
Дата: 2015-03-14T00:00:00+03:00, Объем валюты: 613.167
Дата: 2015-03-17T00:00:00+03:00, Объем валюты: 621.497
Дата: 2015-03-18T00:00:00+03:00, Объем валюты: 617.51
Дата: 2015-03-19T00:00:00+03:00, Объем валюты: 613.483
Дата: 2015-03-20T00:00:00+03:00, Объем валюты: 598.308
Дата: 2015-03-21T00:00:00+03:00, Объем валюты: 600.341
Дата: 2015-03-24T00:00:00+03:00, Объем валюты: 594.452
Дата: 2015-03-25T00:00:00+03:00, Объем валюты: 587.71
Дата: 2015-03-26T00:00:00+03:00, Объем валюты: 573.879
Дата: 2015-03-27T00:00:00+03:00, Объем валюты: 564.271
Дата: 2015-03-28T00:00:00+03:00, Объем валюты: 577.279
Дата: 2015-03-31T00:00:00+03:00, Объем валюты: 584.643
Дата: 2015-04-01T00:00:00+03:00, Объем валюты: 576.5
Дата: 2015-04-02T00:00:00+03:00, Объем валюты: 583.536
Дата: 2015-04-03T00:00:00+03:00, Объем валюты: 569.902
Дата: 2015-04-04T00:00:00+03:00, Объем валюты: 567.534
Дата: 2015-04-07T00:00:00+03:00, Объем валюты: 565.161
Дата: 2015-04-08T00:00:00+03:00, Объем валюты: 553.328
Дата: 2015-04-09T00:00:00+03:00, Объем валюты: 540.27
Дата: 2015-04-10T00:00:00+03:00, Объем валюты: 525.424
Дата: 2015-04-11T00:00:00+03:00, Объем валюты: 510.678
Дата: 2015-04-14T00:00:00+03:00, Объем валюты: 524.22
Дата: 2015-04-15T00:00:00+03:00, Объем валюты: 519.749
Дата: 2015-04-16T00:00:00+03:00, Объем валюты: 505.033
Дата: 2015-04-17T00:00:00+03:00, Объем валюты: 496.749
Дата: 2015-04-18T00:00:00+03:00, Объем валюты: 505.295
Дата: 2015-04-21T00:00:00+03:00, Объем валюты: 515.207
Дата: 2015-04-22T00:00:00+03:00, Объем валюты: 539.728
Дата: 2015-04-23T00:00:00+03:00, Объем валюты: 536.555
Дата: 2015-04-24T00:00:00+03:00, Объем валюты: 516.011
Дата: 2015-04-25T00:00:00+03:00, Объем валюты: 502.473
Дата: 2015-04-28T00:00:00+03:00, Объем валюты: 514.69
Дата: 2015-04-29T00:00:00+03:00, Объем валюты: 523.041
Дата: 2015-04-30T00:00:00+03:00, Объем валюты: 517.029
Дата: 2015-05-01T00:00:00+03:00, Объем валюты: 511.388
Дата: 2015-05-06T00:00:00+03:00, Объем валюты: 517.574
Дата: 2015-05-07T00:00:00+03:00, Объем валюты: 499.816
Дата: 2015-05-08T00:00:00+03:00, Объем валюты: 503.615
Дата: 2015-05-09T00:00:00+03:00, Объем валюты: 507.511
Дата: 2015-05-13T00:00:00+03:00, Объем валюты: 509.14
Дата: 2015-05-14T00:00:00+03:00, Объем валюты: 495.366
Дата: 2015-05-15T00:00:00+03:00, Объем валюты: 500.774
Дата: 2015-05-16T00:00:00+03:00, Объем валюты: 500.115
Дата: 2015-05-19T00:00:00+03:00, Объем валюты: 492.175
Дата: 2015-05-20T00:00:00+03:00, Объем валюты: 491.777
Дата: 2015-05-21T00:00:00+03:00, Объем валюты: 497.919
Дата: 2015-05-22T00:00:00+03:00, Объем валюты: 499.204
Дата: 2015-05-23T00:00:00+03:00, Объем валюты: 497.901
Дата: 2015-05-26T00:00:00+03:00, Объем валюты: 498.613
Дата: 2015-05-27T00:00:00+03:00, Объем валюты: 503.223
Дата: 2015-05-28T00:00:00+03:00, Объем валюты: 510.178
Дата: 2015-05-29T00:00:00+03:00, Объем валюты: 522.907
Дата: 2015-05-30T00:00:00+03:00, Объем валюты: 529.716
Дата: 2015-06-02T00:00:00+03:00, Объем валюты: 528.213
Дата: 2015-06-03T00:00:00+03:00, Объем валюты: 534.413
Дата: 2015-06-04T00:00:00+03:00, Объем валюты: 530.59
Дата: 2015-06-05T00:00:00+03:00, Объем валюты: 549.908
Дата: 2015-06-06T00:00:00+03:00, Объем валюты: 562.463
Дата: 2015-06-09T00:00:00+03:00, Объем валюты: 560.435
Дата: 2015-06-10T00:00:00+03:00, Объем валюты: 559.1
Дата: 2015-06-11T00:00:00+03:00, Объем валюты: 548.219
